Case    |No      |Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
     38.|      5.|    122.|      -12.37|       -4.26|        1.65|        0.00|        0.00|        0.00
     38.|      6.|    122.|      -12.37|       -4.26|        1.65|        0.00|        0.00|        0.00
     39.|      1.|    249.|      -31.15|       62.14|        1.16|        0.00|        0.00|        0.00
     39.|      2.|    122.|      -13.18|       -5.41|        1.65|        0.00|        0.00|        0.00
     39.|      3.|    122.|      -13.18|       -5.41|        1.65|        0.00|        0.00|        0.00
     39.|      4.|    122.|      -13.18|       -5.41|        1.65|        0.00|        0.00|        0.00
     39.|      5.|    122.|      -13.18|       -5.41|        1.65|        0.00|        0.00|        0.00
     39.|      6.|    122.|      -13.18|       -5.41|        1.65|        0.00|        0.00|        0.00
     40.|      1.|    249.|      -31.33|       62.50|        1.16|        0.00|        0.00|        0.00
     40.|      2.|    122.|      -13.98|       -6.55|        1.65|        0.00|        0.00|        0.00
     40.|      3.|    122.|      -13.98|       -6.55|        1.65|        0.00|        0.00|        0.00
     40.|      4.|    122.|      -13.98|       -6.55|        1.65|        0.00|        0.00|        0.00
     40.|      5.|    122.|      -13.98|       -6.55|        1.65|        0.00|        0.00|        0.00
     40.|      6.|    122.|      -13.98|       -6.55|        1.65|        0.00|        0.00|        0.00
     41.|      1.|    249.|      -31.49|       62.84|        1.16|        0.00|        0.00|        0.00
     41.|      2.|    122.|      -14.79|       -7.68|        1.65|        0.00|        0.00|        0.00
     41.|      3.|    122.|      -14.79|       -7.68|        1.65|        0.00|        0.00|        0.00
     41.|      4.|    122.|      -14.79|       -7.68|        1.65|        0.00|        0.00|        0.00
     41.|      5.|    122.|      -14.79|       -7.68|        1.65|        0.00|        0.00|        0.00
     41.|      6.|    122.|      -14.79|       -7.68|        1.65|        0.00|        0.00|        0.00
     42.|      1.|    249.|      -31.65|       63.16|        1.16|        0.00|        0.00|        0.00
     42.|      2.|    122.|      -15.58|       -8.82|        1.65|        0.00|        0.00|        0.00
     42.|      3.|    122.|      -15.58|       -8.82|        1.65|        0.00|        0.00|        0.00
     42.|      4.|    122.|      -15.58|       -8.82|        1.65|        0.00|        0.00|        0.00
     42.|      5.|    122.|      -15.58|       -8.82|        1.65|        0.00|        0.00|        0.00
     42.|      6.|    122.|      -15.58|       -8.82|        1.65|        0.00|        0.00|        0.00
     43.|      1.|    249.|      -31.80|       63.46|        1.16|        0.00|        0.00|        0.00
     43.|      2.|    122.|      -16.38|       -9.95|        1.65|        0.00|        0.00|        0.00
     43.|      3.|    122.|      -16.38|       -9.95|        1.65|        0.00|        0.00|        0.00
     43.|      4.|    122.|      -16.38|       -9.95|        1.65|        0.00|        0.00|        0.00
     43.|      5.|    122.|      -16.38|       -9.95|        1.65|        0.00|        0.00|        0.00
     43.|      6.|    122.|      -16.38|       -9.95|        1.65|        0.00|        0.00|        0.00
     44.|      1.|    249.|      -31.94|       63.74|        1.16|        0.00|        0.00|        0.00
     44.|      2.|    122.|      -17.16|      -11.08|        1.65|        0.00|        0.00|        0.00
     44.|      3.|    122.|      -17.16|      -11.08|        1.65|        0.00|        0.00|        0.00
     44.|      4.|    122.|      -17.16|      -11.08|        1.65|        0.00|        0.00|        0.00
     44.|      5.|    122.|      -17.16|      -11.08|        1.65|        0.00|        0.00|        0.00
     44.|      6.|    122.|      -17.16|      -11.08|        1.65|        0.00|        0.00|        0.00
     45.|      1.|    249.|      -32.07|       64.00|        1.16|        0.00|        0.00|        0.00
     45.|      2.|    122.|      -17.95|      -12.21|        1.65|        0.00|        0.00|        0.00
     45.|      3.|    122.|      -17.95|      -12.21|        1.65|        0.00|        0.00|        0.00
     45.|      4.|    122.|      -17.95|      -12.21|        1.65|        0.00|        0.00|        0.00
     45.|      5.|    122.|      -17.95|      -12.21|        1.65|        0.00|        0.00|        0.00
     45.|      6.|    122.|      -17.95|      -12.21|        1.65|        0.00|        0.00|        0.00
     46.|      1.|    249.|      -32.19|       64.25|        1.16|        0.00|        0.00|        0.00
     46.|      2.|    122.|      -18.72|      -13.33|        1.65|        0.00|        0.00|        0.00
     46.|      3.|    122.|      -18.72|      -13.33|        1.65|        0.00|        0.00|        0.00
     46.|      4.|    122.|      -18.72|      -13.33|        1.65|        0.00|        0.00|        0.00
     46.|      5.|    122.|      -18.72|      -13.33|        1.65|        0.00|        0.00|        0.00
     46.|      6.|    122.|      -18.72|      -13.33|        1.65|        0.00|        0.00|        0.00
     47.|      1.|    249.|      -32.30|       64.47|        1.16|        0.00|        0.00|        0.00
     47.|      2.|    122.|      -19.50|      -14.45|        1.65|        0.00|        0.00|        0.00
     47.|      3.|    122.|      -19.50|      -14.45|        1.65|        0.00|        0.00|        0.00
     47.|      4.|    122.|      -19.50|      -14.45|        1.65|        0.00|        0.00|        0.00
     47.|      5.|    122.|      -19.50|      -14.45|        1.65|        0.00|        0.00|        0.00
     47.|      6.|    122.|      -19.50|      -14.45|        1.65|        0.00|        0.00|        0.00
     48.|      1.|    249.|      -32.40|       64.67|        1.16|        0.00|        0.00|        0.00
     48.|      2.|    122.|      -20.26|      -15.57|        1.65|        0.00|        0.00|        0.00
     48.|      3.|    122.|      -20.26|      -15.57|        1.65|        0.00|        0.00|        0.00
     48.|      4.|    122.|      -20.26|      -15.57|        1.65|        0.00|        0.00|        0.00
     48.|      5.|    122.|      -20.26|      -15.57|        1.65|        0.00|        0.00|        0.00
     48.|      6.|    122.|      -20.26|      -15.57|        1.65|        0.00|        0.00|        0.00
     49.|      1.|    249.|      -32.49|       64.86|        1.16|        0.00|        0.00|        0.00
     49.|      2.|    122.|      -21.02|      -16.68|        1.65|        0.00|        0.00|        0.00
     49.|      3.|    122.|      -21.02|      -16.68|        1.65|        0.00|        0.00|        0.00
     49.|      4.|    122.|      -21.02|      -16.68|        1.65|        0.00|        0.00|        0.00
     49.|      5.|    122.|      -21.02|      -16.68|        1.65|        0.00|        0.00|        0.00
     49.|      6.|    122.|      -21.02|      -16.68|        1.65|        0.00|        0.00|        0.00
     50.|      1.|    249.|      -32.57|       65.02|        1.16|        0.00|        0.00|        0.00
     50.|      2.|    122.|      -21.77|      -17.78|        1.65|        0.00|        0.00|        0.00
     50.|      3.|    122.|      -21.77|      -17.78|        1.65|        0.00|        0.00|        0.00
     50.|      4.|    122.|      -21.77|      -17.78|        1.65|        0.00|        0.00|        0.00
     50.|      5.|    122.|      -21.77|      -17.78|        1.65|        0.00|        0.00|        0.00
     50.|      6.|    122.|      -21.77|      -17.78|        1.65|        0.00|        0.00|        0.00
     51.|      1.|    249.|      -32.64|       65.16|        1.16|        0.00|        0.00|        0.00
     51.|      2.|    122.|      -22.52|      -18.88|        1.65|        0.00|        0.00|        0.00
     51.|      3.|    122.|      -22.52|      -18.88|        1.65|        0.00|        0.00|        0.00
     51.|      4.|    122.|      -22.52|      -18.88|        1.65|        0.00|        0.00|        0.00
     51.|      5.|    122.|      -22.52|      -18.88|        1.65|        0.00|        0.00|        0.00
     51.|      6.|    122.|      -22.52|      -18.88|        1.65|        0.00|        0.00|        0.00
